Date,Month,Year,Authorizations,Sessions,Session Turnaways,% Session Turnaways,Total Citation Searches,  Block Citation Searches,  Subscription Citation Searches,Total Block Searches Used (Block Citation Searches + (Block Documents Viewed * 5)),Total Documents Viewed,  Subscription Documents Viewed,  Monthly Documents Viewed,  Block Documents Viewed
02-2022,02,2022,1,112,0,0,329,0,329,0,0,0,0,0
03-2022,03,2022,1,106,0,0,789,0,789,0,0,0,0,0
04-2022,04,2022,1,79,0,0,274,0,274,0,0,0,0,0
05-2022,05,2022,1,43,0,0,99,0,99,0,0,0,0,0
06-2022,06,2022,1,68,0,0,375,0,375,0,0,0,0,0
07-2022,07,2022,1,64,0,0,200,0,200,0,0,0,0,0
08-2022,08,2022,1,57,0,0,144,0,144,0,0,0,0,0
09-2022,09,2022,1,128,0,0,417,0,417,0,0,0,0,0
10-2022,10,2022,1,104,0,0,304,0,304,0,0,0,0,0
11-2022,11,2022,1,97,0,0,355,0,355,0,0,0,0,0
12-2022,12,2022,1,90,0,0,244,0,244,0,0,0,0,0
01-2023,01,2023,1,118,0,0,296,0,296,0,0,0,0,0
02-2023,02,2023,1,111,0,0,339,0,339,0,0,0,0,0
03-2023,03,2023,1,89,0,0,253,0,253,0,0,0,0,0
04-2023,04,2023,1,113,0,0,328,0,328,0,0,0,0,0
05-2023,05,2023,1,68,0,0,200,0,200,0,0,0,0,0
06-2023,06,2023,1,74,0,0,233,0,233,0,0,0,0,0
07-2023,07,2023,1,51,0,0,142,0,142,0,0,0,0,0
08-2023,08,2023,1,132,0,0,379,0,379,0,0,0,0,0
09-2023,09,2023,1,132,0,0,364,0,364,0,0,0,0,0
10-2023,10,2023,1,82,0,0,201,0,201,0,0,0,0,0
11-2023,11,2023,1,81,0,0,256,0,256,0,0,0,0,0
12-2023,12,2023,1,84,0,0,156,0,156,0,0,0,0,0
01-2024,01,2024,1,124,0,0,348,0,348,0,0,0,0,0
02-2024,02,2024,1,217,0,0,530,0,530,0,0,0,0,0
03-2024,03,2024,1,70,0,0,177,0,177,0,0,0,0,0
04-2024,04,2024,1,73,0,0,287,0,287,0,0,0,0,0
05-2024,05,2024,1,72,0,0,216,0,216,0,0,0,0,0
06-2024,06,2024,1,90,0,0,277,0,277,0,0,0,0,0
07-2024,07,2024,1,50,0,0,108,0,108,0,0,0,0,0
08-2024,08,2024,1,149,0,0,411,0,411,0,0,0,0,0
09-2024,09,2024,1,90,0,0,226,0,226,0,0,0,0,0
10-2024,10,2024,1,91,0,0,254,0,254,0,0,0,0,0
11-2024,11,2024,1,65,0,0,180,0,180,0,0,0,0,0
12-2024,12,2024,1,61,0,0,183,0,183,0,0,0,0,0
01-2025,01,2025,1,109,0,0,292,0,292,0,0,0,0,0
